Zone,code,survey_cust,survey_pop,EV_sat,Pop,EV_num,EV_proportion_all
Zone 1,ALY,3,225,0.013,12533,167,0.80%
Zone 1,BVL,16,448,0.036,20892,746,3.40%
Zone 1,CTN,5,404,0.012,18349,227,1.00%
Zone 1,ESX,10,511,0.020,32401,634,2.90%
Zone 1,KNT,6,275,0.022,15907,347,1.60%
Zone 1,LAM,2,298,0.007,15735,106,0.50%
Zone 1,LIS,2,204,0.010,11837,116,0.50%
Zone 1,SRY,8,392,0.020,20117,411,1.90%
Zone 1,WSK,2,286,0.007,15345,107,0.50%
Zone 1,WTN,8,526,0.015,18912,288,1.30%
Zone 2,ALL,4,285,0.014,14487,203,0.90%
Zone 2,BOL,9,278,0.032,23456,759,3.50%
Zone 2,DDS,21,648,0.032,31976,1036,4.80%
Zone 2,GPH,12,327,0.037,12334,453,2.10%
Zone 2,HAL,4,346,0.012,20432,236,1.10%
Zone 2,LCN,6,315,0.019,17860,340,1.60%
Zone 2,NOR,3,351,0.009,18081,155,0.70%
Zone 2,OGV,11,349,0.032,14746,465,2.10%
Zone 2,SIM,2,254,0.008,14029,110,0.50%
Zone 3A,BNV,15,523,0.029,27148,779,3.60%
Zone 3A,FFL,12,840,0.014,33502,479,2.20%
Zone 3A,MIN,3,282,0.011,8947,95,0.40%
Zone 3A,NMT,28,938,0.030,55787,1665,7.70%
Zone 3A,PTB,18,918,0.020,33547,658,3.00%
Zone 3B,BAN,1,378,0.003,13538,36,0.20%
Zone 3B,COB,14,492,0.028,21732,618,2.80%
Zone 3B,KIN,20,"1,193",0.017,45741,767,3.50%
Zone 3B,PIC,7,607,0.012,21896,253,1.20%
Zone 3B,TRE,7,813,0.009,31565,272,1.30%
Zone 3B,TWD,9,523,0.017,20544,354,1.60%
Zone 4,ARN,9,535,0.017,19629,330,1.50%
Zone 4,BKV,11,637,0.017,23696,409,1.90%
Zone 4,ORL,22,891,0.025,41621,1028,4.70%
Zone 4,PTH,20,976,0.020,33840,693,3.20%
Zone 4,VKH,10,499,0.020,21080,422,1.90%
Zone 4,WCR,37,"1,175",0.031,42733,1346,6.20%
Zone 5,BAR,11,482,0.023,24389,557,2.60%
Zone 5,BBG,5,223,0.022,8121,182,0.80%
Zone 5,HUN,8,326,0.025,12592,309,1.40%
Zone 5,OLA,10,453,0.022,15959,352,1.60%
Zone 5,OSD,21,900,0.023,36690,856,3.90%
Zone 5,PEN,4,309,0.013,11891,154,0.70%
Zone 5,PSD,5,178,0.028,7143,201,0.90%
Zone 5,STA,,0,0.000,1,0,0.00%
Zone 6,AGM,5,319,0.016,11556,181,0.80%
Zone 6,KAP,2,97,0.021,5993,124,0.60%
Zone 6,KLL,4,113,0.035,6831,242,1.10%
Zone 6,MOO,,7,0.000,1223,0,0.00%
Zone 6,MTN,1,163,0.006,6691,41,0.20%
Zone 6,NIP,5,400,0.013,15925,199,0.90%
Zone 6,NLD,4,166,0.024,9333,225,1.00%
Zone 6,SUD,6,548,0.011,30687,336,1.50%
Zone 6,TIM,3,232,0.013,19066,247,1.10%
Zone 7,MAR,,2,0.000,159,0,0.00%
Zone 7,DRY,4,143,0.028,7315,205,0.90%
Zone 7,EAR,1,34,0.029,2047,60,0.30%
Zone 7,FFR,,65,0.000,4091,0,0.00%
Zone 7,GER,,56,0.000,3221,0,0.00%
Zone 7,KEN,,143,0.000,4720,0,0.00%
Zone 7,NPG,,,0.000,66,0,0.00%
Zone 7,TBY,4,347,0.012,12986,150,0.70%
